# BFI filter transmission function, for the 3883 filter
# Taken from solarsoft's fg_bfi_filter.pro on the 20/5/2013.
# Wavelength (nm)   Transmission (%)
386.00000   2.89044E-01
386.01999   1.36787E-01
386.03998   2.19389E-01
386.05997   1.12088E-01
386.07996   2.25568E-01
386.09995   4.30532E-01
386.11993   7.04246E-01
386.13992   2.87375E-01
386.15991   4.74811E-01
386.17990   2.38087E-01
386.19989   6.43104E-01
386.21988   2.85872E-01
386.23987   3.53980E-01
386.25986   5.14771E-01
386.27985   5.17363E-01
386.29984   6.42822E-01
386.31982   5.19873E-01
386.33981   6.32653E-01
386.35980   2.00271E-01
386.37979   3.15142E-01
386.39978   5.20432E-01
386.41977   7.93115E-02
386.43976   5.84417E-01
386.45975   2.79235E-01
386.47974   1.66676E-01
386.49973   6.18468E-01
386.51971   3.77526E-01
386.53970   2.59643E-01
386.55969   5.30883E-01
386.57968   4.83869E-01
386.59967   7.71201E-01
386.61966   3.48617E-01
386.63965   6.15355E-01
386.65964   4.10311E-01
386.67963   6.00900E-01
386.69962   6.84634E-01
386.71960   3.17400E-01
386.73959   1.03369E+00
386.75958   4.46465E-01
386.77957   7.77534E-01
386.79956   8.60174E-01
386.81955   7.54137E-01
386.83954   5.97293E-01
386.85953   3.82132E-01
386.87952   7.16138E-01
386.89951   7.92305E-01
386.91949   7.26865E-01
386.93948   7.32395E-01
386.95947   6.67234E-01
386.97946   9.72737E-01
386.99945   1.30323E+00
387.01944   7.15399E-01
387.03943   8.20914E-01
387.05942   7.44799E-01
387.07941   1.03223E+00
387.09940   1.24861E+00
387.11938   1.09477E+00
387.13937   1.24653E+00
387.15936   1.05584E+00
387.17935   1.30744E+00
387.19934   1.40918E+00
387.21933   1.74435E+00
387.23932   1.31698E+00
387.25931   1.42178E+00
387.27930   1.31654E+00
387.29929   2.15723E+00
387.31927   1.94574E+00
387.33926   1.81695E+00
387.35925   2.28533E+00
387.37924   2.93504E+00
387.39923   3.22002E+00
387.41922   3.91160E+00
387.43921   5.44308E+00
387.45920   6.29023E+00
387.47919   7.92460E+00
387.49918   1.21883E+01
387.51917   1.45897E+01
387.53915   2.02032E+01
387.55914   2.52529E+01
387.57913   3.47478E+01
387.59912   4.25561E+01
387.61911   4.90853E+01
387.63910   5.70708E+01
387.65909   6.05716E+01
387.67908   6.08094E+01
387.69907   6.50303E+01
387.71906   6.49355E+01
387.73904   6.44592E+01
387.75903   6.25339E+01
387.77902   6.42075E+01
387.79901   6.39487E+01
387.81900   6.55357E+01
387.83899   6.46141E+01
387.85898   6.40050E+01
387.87897   6.49965E+01
387.89896   6.50415E+01
387.91895   6.45166E+01
387.93893   6.39561E+01
387.95892   6.29683E+01
387.97891   6.20094E+01
387.99890   5.73668E+01
388.01889   5.50677E+01
388.03888   5.11946E+01
388.05887   4.40543E+01
388.07886   3.86649E+01
388.09885   3.31900E+01
388.11884   2.77598E+01
388.13882   2.18806E+01
388.15881   1.76984E+01
388.17880   1.29155E+01
388.19879   9.53818E+00
388.21878   7.89934E+00
388.23877   6.16403E+00
388.25876   5.25689E+00
388.27875   4.48509E+00
388.29874   3.39288E+00
388.31873   3.25337E+00
388.33871   2.69069E+00
388.35870   2.22625E+00
388.37869   1.63386E+00
388.39868   1.94369E+00
388.41867   1.52509E+00
388.43866   1.58813E+00
388.45865   1.04998E+00
388.47864   1.48612E+00
388.49863   1.26049E+00
388.51862   1.06934E+00
388.53860   9.46848E-01
388.55859   1.21803E+00
388.57858   9.15912E-01
388.59857   1.21944E+00
388.61856   8.26938E-01
388.63855   4.99271E-01
388.65854   8.27066E-01
388.67853   9.52484E-01
388.69852   7.52860E-01
388.71851   9.45543E-01
388.73849   6.79021E-01
388.75848   8.17747E-01
388.77847   8.26540E-01
388.79846   6.34923E-01
388.81845   7.07431E-01
388.83844   6.06137E-01
388.85843   8.69770E-01
388.87842   8.06851E-01
388.89841   6.39021E-01
388.91840   7.31677E-01
388.93839   7.54317E-01
388.95837   4.23451E-01
388.97836   4.83678E-01
388.99835   6.54177E-01
389.01834   0.00000E+00
