# BFI filter transmission function, for the 3968 (Ca II H) filter
# Taken from solarsoft's fg_bfi_filter.pro on the 20/5/2013.
# Wavelength (nm)   Transmission (%)
  396.00000   2.53740E-01
  396.01999   6.37775E-01
  396.03998   4.14606E-01
  396.05997   8.12945E-01
  396.07996   7.38937E-01
  396.09995   4.68404E-01
  396.11993   6.51570E-01
  396.13992   5.12500E-01
  396.15991   6.43956E-01
  396.17990   5.66855E-01
  396.19989   6.90507E-01
  396.21988   7.67514E-01
  396.23987   5.87664E-01
  396.25986   7.96482E-01
  396.27985   7.91651E-01
  396.29984   6.17089E-01
  396.31982   9.02312E-01
  396.33981   7.15580E-01
  396.35980   7.40659E-01
  396.37979   9.47676E-01
  396.39978   8.31604E-01
  396.41977   1.12443E+00
  396.43976   1.04710E+00
  396.45975   1.33443E+00
  396.47974   1.19019E+00
  396.49973   1.45499E+00
  396.51971   1.81541E+00
  396.53970   1.69929E+00
  396.55969   1.96939E+00
  396.57968   2.22284E+00
  396.59967   2.81295E+00
  396.61966   3.50649E+00
  396.63965   3.88749E+00
  396.65964   5.95858E+00
  396.67963   7.97391E+00
  396.69962   1.14715E+01
  396.71960   1.84901E+01
  396.73959   2.63031E+01
  396.75958   3.50879E+01
  396.77957   4.23638E+01
  396.79956   5.01946E+01
  396.81955   5.78016E+01
  396.83954   6.01381E+01
  396.85953   6.33840E+01
  396.87952   6.13961E+01
  396.89951   6.10987E+01
  396.91949   5.46264E+01
  396.93948   4.90763E+01
  396.95947   3.73303E+01
  396.97946   2.96821E+01
  396.99945   2.21231E+01
  397.01944   1.38891E+01
  397.03943   9.33866E+00
  397.05942   6.46698E+00
  397.07941   5.21292E+00
  397.09940   3.94465E+00
  397.11938   2.74861E+00
  397.13937   2.02311E+00
  397.15936   1.80446E+00
  397.17935   1.65910E+00
  397.19934   1.48745E+00
  397.21933   1.21760E+00
  397.23932   1.19158E+00
  397.25931   1.20855E+00
  397.27930   1.33405E+00
  397.29929   1.03141E+00
  397.31927   9.88053E-01
  397.33926   8.31518E-01
  397.35925   6.05388E-01
  397.37924   7.26313E-01
  397.39923   7.72963E-01
  397.41922   8.60328E-01
  397.43921   5.86375E-01
  397.45920   9.44049E-01
  397.47919   6.95328E-01
  397.49918   7.65778E-01
  397.51917   8.27092E-01
  397.53915   2.76170E-01
  397.55914   4.15335E-01
  397.57913   5.84384E-01
  397.59912   4.31424E-01
  397.61911   7.95662E-01
  397.63910   5.59868E-01
  397.65909   5.75197E-01
  397.67908   7.40268E-01
  397.69907   5.74246E-01
  397.71906   7.58477E-01
  397.73904   3.04751E-01
  397.75903   3.62612E-01
  397.77902   5.26113E-01
  397.79901   5.73880E-01
  397.81900   4.43177E-01
  397.83899   3.45665E-01
  397.85898   5.27581E-01
  397.87897   5.09018E-01
  397.89896   3.96636E-01
  397.91895   4.82860E-01
  397.93893   2.51373E-01
  397.95892   5.90468E-01
  397.97891   3.99789E-01
  397.99890   3.65358E-01
  398.01889   0.00000E+00
