# BFI filter transmission function, for the 4305 (CH I) filter
# Taken from solarsoft's fg_bfi_filter.pro on the 20/5/2013.
# Wavelength (nm)   Transmission (%)
  429.00000   3.94160E-02
  429.01999   2.23182E-01
  429.03998   1.29573E-01
  429.05997   6.00339E-02
  429.07996   9.49330E-02
  429.09995   8.02797E-02
  429.11993   9.90571E-02
  429.13992   1.35418E-01
  429.15991   1.74734E-01
  429.17990   3.68015E-01
  429.19989   1.59350E-01
  429.21988   1.90263E-01
  429.23987   2.64815E-01
  429.25986   5.33625E-02
  429.27985   2.16579E-01
  429.29984   9.67894E-02
  429.31982   2.98385E-01
  429.33981   2.74203E-01
  429.35980   3.84818E-01
  429.37979   4.62398E-01
  429.39978   2.69006E-01
  429.41977   2.00903E-01
  429.43976   3.94483E-01
  429.45975   2.92514E-01
  429.47974   2.92258E-01
  429.49973   1.13445E-01
  429.51971   3.61263E-01
  429.53970   2.65663E-01
  429.55969   3.62475E-01
  429.57968   5.59730E-01
  429.59967   2.88353E-01
  429.61966   5.02648E-01
  429.63965   3.84716E-01
  429.65964   2.63368E-01
  429.67963   4.68815E-01
  429.69962   4.31511E-01
  429.71960   5.36949E-01
  429.73959   5.70390E-01
  429.75958   6.31438E-01
  429.77957   8.22348E-01
  429.79956   6.88179E-01
  429.81955   7.64261E-01
  429.83954   7.57337E-01
  429.85953   7.24956E-01
  429.87952   7.92464E-01
  429.89951   8.47313E-01
  429.91949   9.67047E-01
  429.93948   1.12044E+00
  429.95947   1.04128E+00
  429.97946   1.30061E+00
  429.99945   1.37475E+00
  430.01944   1.48055E+00
  430.03943   1.53857E+00
  430.05942   1.60154E+00
  430.07941   1.86719E+00
  430.09940   2.08749E+00
  430.11938   2.59548E+00
  430.13937   3.20295E+00
  430.15936   3.97622E+00
  430.17935   5.19240E+00
  430.19934   5.91244E+00
  430.21933   9.14347E+00
  430.23932   1.43131E+01
  430.25931   1.90484E+01
  430.27930   2.51508E+01
  430.29929   3.15236E+01
  430.31927   4.56567E+01
  430.33926   5.90353E+01
  430.35925   6.70573E+01
  430.37924   7.38116E+01
  430.39923   7.47980E+01
  430.41922   7.45312E+01
  430.43921   7.00333E+01
  430.45920   6.67742E+01
  430.47919   6.37160E+01
  430.49918   6.00239E+01
  430.51917   5.88069E+01
  430.53915   5.74690E+01
  430.55914   5.81959E+01
  430.57913   5.87344E+01
  430.59912   6.00341E+01
  430.61911   6.36655E+01
  430.63910   6.49713E+01
  430.65909   6.76598E+01
  430.67908   7.18611E+01
  430.69907   7.25139E+01
  430.71906   7.62452E+01
  430.73904   7.87007E+01
  430.75903   7.91024E+01
  430.77902   8.04736E+01
  430.79901   8.09427E+01
  430.81900   7.83374E+01
  430.83899   7.52064E+01
  430.85898   7.09467E+01
  430.87897   6.50463E+01
  430.89896   6.11795E+01
  430.91895   5.22459E+01
  430.93893   4.06165E+01
  430.95892   3.56073E+01
  430.97891   3.00070E+01
  430.99890   2.35505E+01
  431.01889   1.76006E+01
  431.03888   1.43009E+01
  431.05887   1.11291E+01
  431.07886   8.99256E+00
  431.09885   8.15456E+00
  431.11884   5.86636E+00
  431.13882   4.64321E+00
  431.15881   4.25721E+00
  431.17880   3.42677E+00
  431.19879   2.99285E+00
  431.21878   2.59174E+00
  431.23877   1.84675E+00
  431.25876   1.86472E+00
  431.27875   1.50710E+00
  431.29874   1.44675E+00
  431.31873   1.36759E+00
  431.33871   1.43260E+00
  431.35870   1.35210E+00
  431.37869   1.29364E+00
  431.39868   8.84148E-01
  431.41867   9.54416E-01
  431.43866   8.90238E-01
  431.45865   6.66421E-01
  431.47864   8.11600E-01
  431.49863   6.79269E-01
  431.51862   7.84977E-01
  431.53860   6.58522E-01
  431.55859   5.71623E-01
  431.57858   6.90635E-01
  431.59857   5.96698E-01
  431.61856   6.98738E-01
  431.63855   5.70932E-01
  431.65854   4.73476E-01
  431.67853   6.30977E-01
  431.69852   5.19802E-01
  431.71851   4.81807E-01
  431.73849   5.75975E-01
  431.75848   4.52057E-01
  431.77847   5.79608E-01
  431.79846   4.08019E-01
  431.81845   5.30836E-01
  431.83844   4.14523E-01
  431.85843   3.60953E-01
  431.87842   3.46448E-01
  431.89841   3.90027E-01
  431.91840   3.44342E-01
  431.93839   3.24756E-01
  431.95837   2.01604E-01
  431.97836   3.95132E-01
  431.99835   2.95525E-01
  432.01834   0.00000E+00
