# BFI filter transmission function, for the 4504 (red continuum) filter
# Taken from solarsoft's fg_bfi_filter.pro on the 20/5/2013.
# Wavelength (nm)   Transmission (%)
  449.50000   6.03980E-01
  449.51999   8.59870E-01
  449.53998   8.21544E-01
  449.55997   6.90119E-01
  449.57996   7.17690E-01
  449.59995   6.59262E-01
  449.61993   7.58373E-01
  449.63992   6.75276E-01
  449.65991   7.58665E-01
  449.67990   6.69968E-01
  449.69989   7.47373E-01
  449.71988   8.47416E-01
  449.73987   9.25990E-01
  449.75986   8.43972E-01
  449.77985   7.44842E-01
  449.79984   7.22041E-01
  449.81982   8.41185E-01
  449.83981   7.84675E-01
  449.85980   7.63858E-01
  449.87979   7.83325E-01
  449.89978   7.83525E-01
  449.91977   9.08490E-01
  449.93976   8.42910E-01
  449.95975   9.14441E-01
  449.97974   7.90329E-01
  449.99973   7.82786E-01
  450.01971   8.32279E-01
  450.03970   8.74256E-01
  450.05969   8.75799E-01
  450.07968   8.11030E-01
  450.09967   9.33057E-01
  450.11966   9.46912E-01
  450.13965   1.11212E+00
  450.15964   1.11947E+00
  450.17963   1.14965E+00
  450.19962   1.23532E+00
  450.21960   1.39517E+00
  450.23959   1.65985E+00
  450.25958   1.84382E+00
  450.27957   2.72082E+00
  450.29956   3.63499E+00
  450.31955   6.26672E+00
  450.33954   9.48759E+00
  450.35953   1.77336E+01
  450.37952   2.91372E+01
  450.39951   4.35769E+01
  450.41949   5.50476E+01
  450.43948   6.22327E+01
  450.45947   6.69548E+01
  450.47946   7.05949E+01
  450.49945   7.07608E+01
  450.51944   7.10104E+01
  450.53943   6.98106E+01
  450.55942   6.79127E+01
  450.57941   5.84763E+01
  450.59940   4.95630E+01
  450.61938   3.79101E+01
  450.63937   2.53185E+01
  450.65936   1.65100E+01
  450.67935   8.26842E+00
  450.69934   4.97013E+00
  450.71933   3.39672E+00
  450.73932   2.46840E+00
  450.75931   1.90419E+00
  450.77930   1.53816E+00
  450.79929   1.35130E+00
  450.81927   1.18498E+00
  450.83926   1.18303E+00
  450.85925   1.14286E+00
  450.87924   1.18416E+00
  450.89923   1.06884E+00
  450.91922   1.08183E+00
  450.93921   1.17854E+00
  450.95920   1.08518E+00
  450.97919   1.15130E+00
  450.99918   1.05106E+00
  451.01917   9.70885E-01
  451.03915   9.35153E-01
  451.05914   9.66382E-01
  451.07913   9.13385E-01
  451.09912   1.03556E+00
  451.11911   1.00712E+00
  451.13910   9.75047E-01
  451.15909   9.28771E-01
  451.17908   9.02216E-01
  451.19907   8.00065E-01
  451.21906   8.77375E-01
  451.23904   8.99593E-01
  451.25903   9.00373E-01
  451.27902   7.86938E-01
  451.29901   8.51661E-01
  451.31900   1.01332E+00
  451.33899   8.36849E-01
  451.35898   8.06861E-01
  451.37897   7.62376E-01
  451.39896   7.81179E-01
  451.41895   7.05085E-01
  451.43893   7.87141E-01
  451.45892   7.41554E-01
  451.47891   8.20278E-01
  451.49890   7.91663E-01
  451.51889   0.00000E+00
