# BFI filter transmission function, for the 5550 (green continuum) filter
# Taken from solarsoft's fg_bfi_filter.pro on the 20/5/2013.
# Wavelength (nm)   Transmission (%)
  554.00000   8.56501E-01
  554.02002   5.13122E-01
  554.04004   7.81568E-01
  554.06006   6.65980E-01
  554.08008   5.94819E-01
  554.10010   6.74314E-01
  554.12012   6.63830E-01
  554.14014   8.65471E-01
  554.16016   6.90009E-01
  554.18018   7.34297E-01
  554.20020   8.84232E-01
  554.22021   5.00583E-01
  554.24023   7.91309E-01
  554.26025   7.20990E-01
  554.28027   7.01429E-01
  554.30029   8.40140E-01
  554.32031   8.06831E-01
  554.34033   1.00176E+00
  554.36035   9.29628E-01
  554.38037   9.73039E-01
  554.40039   1.08170E+00
  554.42041   7.34961E-01
  554.44043   1.08519E+00
  554.46045   9.01923E-01
  554.48047   9.76593E-01
  554.50049   1.07801E+00
  554.52051   1.07660E+00
  554.54053   1.35923E+00
  554.56055   1.32984E+00
  554.58057   1.38886E+00
  554.60059   1.55738E+00
  554.62061   1.45622E+00
  554.64063   1.86292E+00
  554.66064   2.09185E+00
  554.68066   2.37270E+00
  554.70068   2.85958E+00
  554.72070   3.15233E+00
  554.74072   4.24431E+00
  554.76074   5.05355E+00
  554.78076   6.22658E+00
  554.80078   8.82773E+00
  554.82080   1.01243E+01
  554.84082   1.41100E+01
  554.86084   1.70075E+01
  554.88086   2.36511E+01
  554.90088   3.15081E+01
  554.92090   3.83420E+01
  554.94092   4.61742E+01
  554.96094   5.50035E+01
  554.98096   6.21874E+01
  555.00098   6.71316E+01
  555.02100   6.93629E+01
  555.04102   7.12550E+01
  555.06104   7.13580E+01
  555.08105   7.02158E+01
  555.10107   6.68838E+01
  555.12109   6.18322E+01
  555.14111   5.59924E+01
  555.16113   4.55988E+01
  555.18115   3.61477E+01
  555.20117   2.73335E+01
  555.22119   2.14989E+01
  555.24121   1.54379E+01
  555.26123   1.17817E+01
  555.28125   9.21167E+00
  555.30127   6.27112E+00
  555.32129   5.17325E+00
  555.34131   4.29243E+00
  555.36133   3.37283E+00
  555.38135   2.74664E+00
  555.40137   2.28086E+00
  555.42139   1.90081E+00
  555.44141   1.71767E+00
  555.46143   1.61036E+00
  555.48145   1.31882E+00
  555.50146   1.30767E+00
  555.52148   1.09596E+00
  555.54150   1.23909E+00
  555.56152   9.81801E-01
  555.58154   9.09110E-01
  555.60156   9.80684E-01
  555.62158   6.87673E-01
  555.64160   7.99713E-01
  555.66162   7.14248E-01
  555.68164   7.10472E-01
  555.70166   7.96468E-01
  555.72168   6.24500E-01
  555.74170   8.20447E-01
  555.76172   6.55930E-01
  555.78174   5.57917E-01
  555.80176   7.56729E-01
  555.82178   4.19045E-01
  555.84180   6.17821E-01
  555.86182   4.76560E-01
  555.88184   5.22281E-01
  555.90186   5.91956E-01
  555.92188   4.66439E-01
  555.94189   7.83963E-01
  555.96191   5.63319E-01
  555.98193   5.03350E-01
  556.00195   6.32220E-01
