# BFI filter transmission function, for the 6684 (blue continuum) filter
# Taken from solarsoft's fg_bfi_filter.pro on the 20/5/2013.
# Wavelength (nm)   Transmission (%)
  667.50000   5.84927E-01
  667.52002   5.48671E-01
  667.54004   4.76462E-01
  667.56006   6.53497E-01
  667.58008   5.07547E-01
  667.60010   6.06368E-01
  667.62012   5.10064E-01
  667.64014   4.26534E-01
  667.66016   4.70421E-01
  667.68018   4.48958E-01
  667.70020   5.10423E-01
  667.72021   5.04737E-01
  667.74023   5.64231E-01
  667.76025   6.63579E-01
  667.78027   6.62066E-01
  667.80029   7.39114E-01
  667.82031   7.29035E-01
  667.84033   6.45570E-01
  667.86035   8.30004E-01
  667.88037   9.07289E-01
  667.90039   9.84925E-01
  667.92041   9.88724E-01
  667.94043   9.72527E-01
  667.96045   1.26011E+00
  667.98047   1.32165E+00
  668.00049   1.52239E+00
  668.02051   1.66195E+00
  668.04053   1.81549E+00
  668.06055   2.11224E+00
  668.08057   2.33319E+00
  668.10059   2.89723E+00
  668.12061   3.50625E+00
  668.14063   4.15713E+00
  668.16064   5.24399E+00
  668.18066   6.21673E+00
  668.20068   8.13868E+00
  668.22070   1.10955E+01
  668.24072   1.41287E+01
  668.26074   1.81728E+01
  668.28076   2.25069E+01
  668.30078   2.91285E+01
  668.32080   4.14081E+01
  668.34082   5.04012E+01
  668.36084   5.70938E+01
  668.38086   6.78263E+01
  668.40088   7.58278E+01
  668.42090   7.98645E+01
  668.44092   8.12296E+01
  668.46094   8.22755E+01
  668.48096   8.25568E+01
  668.50098   8.16077E+01
  668.52100   8.01305E+01
  668.54102   7.77678E+01
  668.56104   7.42166E+01
  668.58105   6.80716E+01
  668.60107   5.94155E+01
  668.62109   4.84869E+01
  668.64111   4.02291E+01
  668.66113   3.18232E+01
  668.68115   2.54800E+01
  668.70117   1.78751E+01
  668.72119   1.32858E+01
  668.74121   1.04033E+01
  668.76123   8.26953E+00
  668.78125   6.70834E+00
  668.80127   5.07603E+00
  668.82129   4.05731E+00
  668.84131   3.26032E+00
  668.86133   2.93052E+00
  668.88135   2.42399E+00
  668.90137   2.12203E+00
  668.92139   1.90375E+00
  668.94141   1.66630E+00
  668.96143   1.55380E+00
  668.98145   1.34347E+00
  669.00146   1.22637E+00
  669.02148   1.07262E+00
  669.04150   9.26428E-01
  669.06152   8.72812E-01
  669.08154   8.44504E-01
  669.10156   8.85276E-01
  669.12158   8.47512E-01
  669.14160   7.97393E-01
  669.16162   8.44732E-01
  669.18164   7.28825E-01
  669.20166   7.75924E-01
  669.22168   7.24461E-01
  669.24170   5.42126E-01
  669.26172   7.37140E-01
  669.28174   5.33663E-01
  669.30176   6.82437E-01
  669.32178   6.58033E-01
  669.34180   6.71916E-01
  669.36182   7.92185E-01
  669.38184   6.66101E-01
  669.40186   6.90590E-01
  669.42188   6.09262E-01
  669.44189   4.35582E-01
  669.46191   4.38039E-01
  669.48193   3.48864E-01
  669.50195   4.11322E-01
